"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance","Referenced in"
"Giants--Juvenile fiction","general term","018510942","Monograph","Language material ; Text","Online resource","GBB7L4133","","9780141378572","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","The BFG","B.F.G","","","England","London","Puffin","2015","Colour edition","1 online resource, colour illustrations","823.914","ELD.DS.182923","Children's fiction ; Fiction ; Humour or satire","English","Originally published by Jonathon Cape, 1982","",""
"Giants--Juvenile fiction","general term","018530280","Monograph","Language material ; Text","Online resource","GBB7I3687","","9780141930138","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The BFG","","My Roald Dahl","","England","London","Puffin","2007","","1 online resource (198 pages), illustrations","823.914","ELD.DS.197113","Children's fiction ; Fiction ; Humour or satire","English","Originally published: London: Jonathan Cape, 1982","",""
"Giraffe","general term","018530871","Monograph","Language material ; Text","Online resource","GBB7I3937","","9780141963464","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The giraffe and the pelly and me","","Picture Puffins","","England","Harmondsworth","Puffin","2008","","1 online resource, colour illustrations","823.914","ELD.DS.197583","Children's fiction ; Fiction ; Humour or satire","English","","",""
"Giraffe--Fiction","general term","007363285","Monograph","Language material ; Text","Volume","GB8524587","","9780224029995","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The giraffe and the pelly and me","","","","England","London","Cape","1985","","32 pages, illustrations","823.914","J/X.992/5720","Children's literature","English","","",""
"Giraffe--Juvenile fiction","general term","015565979","Monograph","Language material ; Text","Volume","GBB066895","","9780224083904","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The giraffe and the pelly and me","","","","England","London","Jonathan Cape","2010","","76 pages, illustrations, 19 cm","823.914","","Children's fiction ; Humour or satire","English","Originally published: 1985","",""
"Giraffe--Juvenile fiction","general term","015752518","Monograph","Language material ; Text","Volume","GBB211151","","9781904357346","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person] ; Meek, Elin [person]","Jiráff, a'r pelican a fi","Giraffe and the pelly and me. Welsh","","","Wales","Hengoed","Rily Publications","2011","","70 pages, illustrations, 20 cm","823.914","YK.2011.a.37262","Children's fiction","Welsh","Translated from English","",""
"Giraffe--Juvenile fiction","general term","016453664","Monograph","Language material ; Still image ; Text","Volume","GBB361832","","9780857551207","Dahl, Roald","","person","author","Blake, Quentin, author [person] ; Dahl, Roald, author [person]","The giraffe and the pelly and me","","","","England","London","Jonathan Cape","2013","","76 pages, illustrations, 13 cm","823.914","CLE.2013.a.579","Children's fiction ; Humour or satire","English","Boxed, includes soft toy ; Originally published: 1985","",""
"Giraffe--Juvenile fiction","general term","016520369","Monograph","Language material ; Still image ; Text","Volume","GBB394533","","9780141350578","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","The giraffe and the pelly and me","","","","England","London","Puffin","2014","","1 volume (unpaged), colour illustrations, 27 cm","823.914","","Children's fiction ; Humour or satire","English","Originally published: London: Jonathan Cape, 1985","",""
"Giraffe--Juvenile fiction","general term","018180054","Monograph","Language material ; Still image ; Text","Volume","GBB706979","","9781849673501","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person] ; Meek, Elin, translator [person]","Jiráff a'r Pelican a fi","Giraffe and the pelly and me. Welsh","","","Wales","Hengoed","Rily","2016","","70 pages, 19 unnumbered pages, black and white illustrations, 20 cm","","","Children's fiction","Welsh","Cyfieithiad Cymraeg blaenorol = Previous Welsh tranlsation: 2011 ; Cyhoeddwyd yn wreiddiol yn Saesneg = Originally published in English: 1985","",""
"Giraffe--Juvenile fiction","general term","018530871","Monograph","Language material ; Text","Online resource","GBB7I3937","","9780141963464","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The giraffe and the pelly and me","","Picture Puffins","","England","Harmondsworth","Puffin","2008","","1 online resource, colour illustrations","823.914","ELD.DS.197583","Children's fiction ; Fiction ; Humour or satire","English","","",""
"Giraffes--Fiction","general term","018530871","Monograph","Language material ; Text","Online resource","GBB7I3937","","9780141963464","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The giraffe and the pelly and me","","Picture Puffins","","England","Harmondsworth","Puffin","2008","","1 online resource, colour illustrations","823.914","ELD.DS.197583","Children's fiction ; Fiction ; Humour or satire","English","","",""
"Giraffes--Juvenile fiction","general term","014632962","Monograph","Language material ; Text","Volume","GBA872920","","9780141322780","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The giraffe and the pelly and me","","A young Puffin story book","","England","London","Puffin","2008","","70 pages, illustrations, 20 cm","823.914","","Children's fiction ; Humour or satire","English","Originally published: London: Jonathan Cape, 1985","",""
"Giraffes--Juvenile fiction","general term","016307438","Monograph","Language material ; Still image ; Text","Volume","GBB328661","","9780141346663","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","The giraffe and the pelly and me","","","","England","London","Puffin","2013","","70 pages, black and white illustrations, 20 cm","823.914","","Children's fiction ; Humour or satire","English","Originally published: London: Jonathan Cape, 1985","",""
"Giraffes--Pictorial works--Juvenile fiction","general term","014627785","Monograph","Language material ; Text","Volume","GBA871717","","9780141501772","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The giraffe and the pelly and me","","Picture Puffins","","England","London","Puffin","2008","","1 volume, chiefly colour illustrations, 27 cm","823.914","","Children's fiction ; Humour or satire ; Pictorial work","English","Originally published: London: Jonathan Cape, 1985","",""
"Girls","general term","018510943","Monograph","Language material ; Text","Online resource","GBB7J3909","","9780141378541 ; 9781101654316","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Matilda","","Puffin classics","","United States of America","New York","Penguin ; Puffin","2013","","1 online resource (232 pages), illustrations","823.914","ELD.DS.182924","Children's fiction ; Fiction ; Humour or satire","English","'Published by Puffin books, 1990. Reissued in this edition by Puffin books, an imprint of Penguin Young Readers Group, 2013'--Title page verso","",""
"Girls--Fiction","general term","018510943","Monograph","Language material ; Text","Online resource","GBB7J3909","","9780141378541 ; 9781101654316","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Matilda","","Puffin classics","","United States of America","New York","Penguin ; Puffin","2013","","1 online resource (232 pages), illustrations","823.914","ELD.DS.182924","Children's fiction ; Fiction ; Humour or satire","English","'Published by Puffin books, 1990. Reissued in this edition by Puffin books, an imprint of Penguin Young Readers Group, 2013'--Title page verso","",""
"Girls--Juvenile fiction","general term","010699640","Monograph","Language material ; Text","Volume","GB9953752","","9780582401983","Escott, John","","person","","Dahl, Roald [person] ; Escott, John [person]","Matilda","","Penguin readers. Level 3","","England","Harlow","Pearson","1999","","40 pages, 20 cm","428.6","YK.2001.a.4083","Children's fiction ; Fantasy ; Reader","English","","",""
"Girls--Juvenile fiction","general term","018510943","Monograph","Language material ; Text","Online resource","GBB7J3909","","9780141378541 ; 9781101654316","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","Matilda","","Puffin classics","","United States of America","New York","Penguin ; Puffin","2013","","1 online resource (232 pages), illustrations","823.914","ELD.DS.182924","Children's fiction ; Fiction ; Humour or satire","English","'Published by Puffin books, 1990. Reissued in this edition by Puffin books, an imprint of Penguin Young Readers Group, 2013'--Title page verso","",""
"Grandmothers","general term","018506803","Monograph","Language material ; Text","Online resource","GBB7G8970","","9780141378510","Dahl, Roald","","person","author","Blake, Quentin, illustrator [person] ; Dahl, Roald, author [person]","George's marvellous medicine","","","","England ; United Kingdom","London","Puffin","2016","","1 online resource (96 pages)","823.914","ELD.DS.180406","Children's fiction ; Fiction ; Humour or satire","English","","",""
"Grandmothers","general term","018530269","Monograph","Language material ; Text","Online resource","GBB7I3680","","9780141929859","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","George's marvellous medicine","","","","England","London","Puffin","2007","","1 online resource (104 pages), illustrations","823.914","ELD.DS.197102","Children's fiction ; Fiction","English","","",""
"Grandmothers--Fiction","general term","007362457","Monograph","Language material ; Text","Volume","GB8119426","","9780224019019","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","George's marvellous medicine","","","","England","London","Cape","1981","","96 pages, illustrations, 24 cm","823.912","X.992/4528","","English","","",""
"Grandmothers--Fiction","general term","007362672","Monograph","Language material ; Text","Volume","GB8323258","","9780224021654","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The witches","","","","England","London","Cape","1983","","206 pages, illustrations, 24 cm","823.912","X.990/22490","","English","","",""
"Grandmothers--Fiction","general term","011929604","Monograph","Language material ; Text","Volume","GB9018130","","9780140317305","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","The witches","","","","England","","Puffin","1985","","208 pages","823.914","YK.1990.a.4794","","English","","",""
"Grandmothers--Fiction","general term","011934439","Monograph","Language material ; Text","Volume","GB9928916","","9780140314922 ; 9780140868395 ; 9780140868692","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","George's marvellous medicine","","","","England","London","Puffin","1998","","1 book, 1 sound cassette, in container 20 x 14 x 4 cm","823.914","CDM.2000.a.280","Children's fiction ; Fiction","English","'book & tape.' ; Title from container","",""
"Grandmothers--Juvenile fiction","general term","015179598","Monograph","Language material ; Text","Volume","GBA946563","","9781904357063","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Moddion rhyfeddol George","George's marvellous medicine. Welsh","","","Wales","Hengoed","Rily Publications","2008","","122 pages, illustrations, 20 cm","","","Children's fiction","Welsh","","",""
